sent_compound,x,y
0.908,-14916.92784,6714670.801433568
0,-14916.91039,6714670.813242569
0,-14916.94059,6714670.808015568
0,-14916.94043,6714670.807657569
0.5574,-14916.93964,6714670.790398568
0,-14916.90993,6714670.812867569
0,-14916.97227,6714670.790675568
0,-14916.91192,6714670.807119569
0,-14916.95559,6714670.809273568
0,-14916.97059,6714670.789946568
0,-14916.93345,6714670.820637568
0,-14916.93342,6714670.820598569
0,-14916.93982,6714670.808803569
0,-14916.96449,6714670.816645568
0,-14916.98497,6714670.796381569
0,-14916.96449,6714670.816167569
0,-14916.93884,6714670.818780568
0.2732,-14916.9648,6714670.816757568
0,-14917.01736,6714670.797953568
0,-14916.96461,6714670.816381568
0,-14916.98466,6714670.795175568
0,-14916.98816,6714670.795148568
0,-14916.96453,6714670.816289568
0,-14916.96457,6714670.816359568
0.6801,-14916.98271,6714670.795887568
0,-14916.98652,6714670.795156568
0,-14916.98804,6714670.794906569
0,-14916.93687,6714670.8175065685
0,-14916.9415,6714670.807903568
0,-14916.9123,6714670.806967569
0,-14916.91169,6714670.806984568
0,-14916.96461,6714670.816362568
0,-14916.91154,6714670.807009568
0,-14916.91208,6714670.807028568
0,-14916.91107,6714670.807084569
0,-14916.91193,6714670.806459568
0,-14916.91157,6714670.806731569
0,-14916.91085,6714670.806945568
0,-14916.91166,6714670.806839569
0,-14916.9646,6714670.816378568
0,-14916.95471,6714670.805803568
0,-14916.95104,6714670.805812568
0,-14916.98684,6714670.795181569
0,-14916.9855,6714670.795706568
0,-14916.95406,6714670.805506568
0.6486,-14916.9515,6714670.8085785685
0,-14916.96462,6714670.816367568
-0.296,-14916.93831,6714670.819053568
0,-14916.93909,6714670.818607569
0,-14916.95317,6714670.805564568
0.5106,-14916.95457,6714670.806125568
0.1779,-14916.93821,6714670.818975569
0,-14916.96444,6714670.816492569
0,-14916.96493,6714670.817003569
0,-14916.96514,6714670.817203568
0,-14916.96457,6714670.816150568
0,-14916.96483,6714670.816417568
0,-14916.96484,6714670.817031568
0,-14916.96468,6714670.817087568
0,-14916.96529,6714670.816778569
0,-14916.96461,6714670.816289568
0,-14916.96527,6714670.816959568
0,-14916.96509,6714670.816953569
0,-14916.96509,6714670.817050569
0,-14916.96474,6714670.817148568
0,-14916.96461,6714670.8171425685
0,-14916.96515,6714670.817153568
0,-14916.9652,6714670.8171735685
0,-14916.96511,6714670.817100569
0,-14916.96436,6714670.816287569
0,-14916.96437,6714670.816614568
0,-14916.96528,6714670.816964569
0,-14916.96508,6714670.816950568
0,-14916.96436,6714670.816942568
0,-14916.96429,6714670.816500569
0,-14916.9649,6714670.817000568
0,-14916.91205,6714670.805925569
0,-14916.96479,6714670.816587568
0,-14916.93791,6714670.817531568
0,-14916.96506,6714670.816856569
0,-14916.96529,6714670.816909568
0,-14916.96506,6714670.817128568
0,-14916.96508,6714670.817145568
0,-14916.96461,6714670.817012568
0,-14916.96524,6714670.8168985685
0,-14916.96512,6714670.816892568
0,-14916.96491,6714670.816412568
0,-14916.96516,6714670.816409568
0,-14916.96511,6714670.816881568
0,-14916.96471,6714670.816564568
0,-14916.96474,6714670.816562569
0,-14916.96422,6714670.816686569
0,-14916.96516,6714670.816587568
0,-14916.96516,6714670.816575568
0,-14916.96439,6714670.816753568
0,-14916.93849,6714670.818434568
0,-14916.9391,6714670.818647568
-0.5994,-14916.92038,6714670.795148568
0,-14916.9883,6714670.795782568
0,-14916.91136,6714670.806849568
-0.5994,-14916.92052,6714670.795074568
-0.9217,-14916.92052,6714670.795175568
0,-14917.02282,6714670.815631568
0,-14916.98822,6714670.7964705685
0,-14916.89418,6714670.805389568
0,-14916.9124,6714670.8069595685
0,-14916.91146,6714670.806884568
-0.5994,-14916.92038,6714670.795141568
0.9805,-14916.99912,6714670.804175569
0,-14916.91121,6714670.807064569
0,-14916.93952,6714670.808100568
0,-14916.93953,6714670.808089568
0,-14916.93979,6714670.808000568
0,-14916.93978,6714670.808006569
0,-14916.93911,6714670.808103568
0,-14916.93999,6714670.8193735685
0,-14916.94101,6714670.808573568
0,-14916.98823,6714670.795535568
0,-14916.98283,6714670.795582568
0.743,-14916.91263,6714670.807009568
0,-14916.94021,6714670.807987568
0,-14916.93983,6714670.808517569
0.4404,-14916.93342,6714670.811206568
0.4767,-14916.9123,6714670.816989568
0,-14916.91102,6714670.806468569
0.8677,-14916.91204,6714670.806475569
0,-14916.93971,6714670.819537568
0.5859,-14916.98607,6714670.795529569
0.7579,-14916.9877,6714670.796571569
0,-14916.9135,6714670.817819568
0,-14916.92139,6714670.807643568
0,-14916.93978,6714670.808006569
0,-14916.93951,6714670.808089568
0,-14916.92064,6714670.795212569
0.34,-14916.92078,6714670.795248568
0,-14916.98293,6714670.796125568
0,-14916.98391,6714670.796006569
0,-14916.93973,6714670.818353568
0,-14916.98775,6714670.795103569
0,-14916.9103,6714670.807959569
0,-14916.91171,6714670.806853568
0,-14916.90335,6714670.813065568
0,-14916.90719,6714670.813205568
0,-14916.93957,6714670.811997568
0,-14916.9132,6714670.818039568
0,-14916.90148,6714670.802694568
0,-14916.91099,6714670.813199569
0,-14916.9102,6714670.813199569
0,-14916.93661,6714670.829047568
-0.2382,-14916.98515,6714670.796339569
0,-14916.98384,6714670.795706568
0,-14916.90644,6714670.818660568
0,-14916.98382,6714670.795403568
0.3612,-14916.93875,6714670.818627568
0,-14916.98397,6714670.795434568
0.3818,-14916.91115,6714670.806875569
0,-14916.89293,6714670.805780568
