NUMPOINTS,X,Y
3052,-16257.69177,7229908.339262568
827,-16925.20177,7229604.679262568
491,-16266.71177,7229754.659262569
73,-16143.73177,7229728.269262568
138,-16123.18177,7229727.819262568
932,-15388.44177,7229536.279262569
1000,-15677.98177,7229900.709262568
399,-16230.70177,7229374.849262568
2655,-15736.27177,7229711.569262568
1020,-15550.02177,7229812.349262568
5219,-16205.55177,7229786.309262568
430,-15631.58177,7229857.059262568
299,-15899.95177,7229626.449262569
52,-15713.73177,7229362.239262569
1494,-16236.88177,7229691.979262568
1269,-16260.91177,7229749.989262569
316,-16267.51177,7229716.659262569
1187,-16924.81177,7229605.159262569
41,-16202.56177,7229713.929262568
373,-15742.28177,7229641.409262569
1062,-15639.18177,7229856.469262568
9882,-15754.83177,7229743.569262568
1359,-16175.89177,7229799.699262569
3868,-16201.37177,7229729.089262568
913,-15711.28177,7230137.819262568
45,-15713.98177,7229363.069262568
41,-15713.15177,7229361.349262568
2673,-15686.08177,7229759.909262569
44,-16203.01177,7229713.909262569
4252,-16023.27177,7229801.999262569
74,-16319.37177,7229718.269262568
936,-15656.02177,7229863.079262569
1401,-15702.80177,7229513.299262568
1618,-15733.05177,7229525.319262568
42,-15710.65177,7229359.819262568
239,-16082.98177,7229678.379262568
440,-16856.84177,7229499.739262569
51,-15713.59177,7229362.099262568
53,-15713.59177,7229361.959262568
640,-16974.81177,7229775.829262569
780,-16272.07177,7229741.039262569
63,-16203.57177,7229713.929262568
16,-16494.90177,7229768.299262568
23,-15648.09177,7229787.909262569
164,-16199.65177,7229713.859262568
25,-16184.12177,7229820.599262568
254,-16195.57177,7229699.839262568
99,-16088.01177,7229551.429262568
752,-16191.07177,7229705.819262568
1283,-15918.88177,7229696.169262568
796,-15925.10177,7229852.269262568
88,-16648.46177,7229582.059262568
638,-16505.01177,7229526.849262568
250,-16181.87177,7229667.769262568
341,-16188.62177,7229682.459262568
330,-16190.66177,7229687.929262568
15,-16072.30177,7229681.409262569
886,-15607.31177,7229915.749262569
368,-16332.65177,7229724.069262568
20,-16205.06177,7229534.319262568
18,-16189.15177,7229533.519262568
72,-16199.65177,7229529.239262569
81,-16199.62177,7229529.159262569
16,-16185.68177,7229534.319262568
129,-16520.77177,7229758.269262568
131,-16191.50177,7229529.259262568
4655,-16080.48177,7229680.619262569
214,-16334.76177,7229616.929262568
874,-16187.37177,7229528.629262568
469,-16290.53177,7229712.999262569
439,-16202.23177,7229709.919262568
471,-16202.23177,7229710.569262568
558,-15617.23177,7229777.989262569
395,-16185.98177,7229811.819262568
1321,-16202.68177,7229696.279262569
880,-15612.25177,7229911.139262568
276,-16309.87177,7229700.839262568
583,-16305.37177,7229696.769262568
422,-16183.20177,7229812.709262568
177,-16440.93177,7229790.129262568
1012,-16190.21177,7229708.119262569
285,-16210.62177,7229707.909262569
22,-16446.93177,7229794.269262568
36,-16638.37177,7229586.679262568
1031,-16153.45177,7229853.259262568
1862,-16082.71177,7229682.409262569
1019,-16191.65177,7229692.159262569
1646,-16307.87177,7229711.319262568
53,-16505.20177,7229526.019262568
796,-16633.98177,7229587.869262569
882,-15859.48177,7229807.729262568
42,-15830.62177,7229774.929262568
1570,-16182.19177,7229711.019262568
